"","KTF75971","KTG42667","KTF80371","XP_701004","KTG43125","XP_007247745","KTF97353","XP_009293494","ABU96278","KTF88034","KTF89044","XP_001921423","XP_012688340","XP_002666141","KTG37669","KTF74249","XP_009297479","KTG03373","XP_013122300","KTG09598","KTF82271","ADG85670","KTG44146","AGH09216","CI01000065_0369242","NP_001239578","XP_009289507","AHA37384","NP_956417","BAC82372","NP_001005594","KTG06651","KTG34840","KTG37166","KTF76318","NP_001139468","NP_001245159","XP_007228077","KTG47344","KTF81434","NP_001017635","KTG45207","NP_001129995-G0004","KTG39568","XP_003201439-02364","XP_009296026-02406","KTG43290","KTG01608","XP_007235958","NP_571306","XP_013867485","KTF87868","XP_009296026-02382","KTF95438","KTF91743","KTG44324","KTF74609","XP_005166855","AAI62793","CDQ63224","ACR81587","XP_003201439-00000","XP_009301775","NP_001030159","CAD59120","KPP74952","KTF82854","KTF93372","XP_009291933","NP_001002690","NP_956405","NP_001093494","XP_005726511","XP_005171226","NP_001239279","NP_001129995-G0004","NP_001009916","XP_002666778","KTF73021","XP_009296012","KTG07469","KTF93359","KTG20094","NP_001129995-00000","XP_005172319","BAJ07836","KTG05535","KTG42301","KTF78776","KTF91705","KTG36050","XP_008308691","XP_015231118","KTG45231","XP_002660657","NP_001307352","NP_957371","KTF79503","KTF83322","XP_001340891","XP_009289685","KTG06837","KTG05056","XP_009301404","XP_009300071","CI01000330_0008172","XP_007232452","KTF81145","KTF81003","KTG40316","KTG06249","ACZ06879","KTG03061","ADK26459","KTG37605","CAE18459","KTG39162","AAI63537","XP_005157538","CAG02846","KKF10462","KTG30376","BAE79361","XP_005165403","XP_009298271","XP_012692113","KKF19913","XP_009298521","NP_571222","KTG04453","NP_571590","XP_009295759"
"KTF89044",0.93237,0.5602,0.65881,0.32997,0.35077,0.36769,0.00091568,0.00012046,2.5368e-06,3.0891e-12,NA,0,0,0.0034962,0.0082756,0.033181,0.14927,0.091802,0.094288,0.010081,0.0031244,0.16219,0.1828,0.031467,0.094275,0.069906,0.057676,0.54305,0.49508,0.32101,0.32216,0.42285,0.38024,0.3573,0.968,0.85919,0.90229,0.66683,0.79313,0.7026,0.48206,0.38848,0.2945,0.24308,0.21386,0.1119,0.10536,0.18296,0.17756,0.17398,0.17632,0.15355,0.15157,0.17287,0.1746,0.17685,0.1765,0.1826,0.17054,0.17047,0.17047,0.17047,0.17047,0.17047,0.17047,0.17047,0.17047,0.17048,0.17049,0.17129,0.17218,0.19636,0.18505,0.18835,0.19111,0.034244,0.028135,0.0049133,0.0034799,0.0097854,0.013607,0.00029368,0.00013073,0.00019425,9.9865e-07,3.8841e-06,2.4053e-07,4.2771e-07,1.1487e-06,1.0639e-05,5.0732e-06,5.9581e-06,3.7364e-05,2.7556e-05,0.027237,0.012703,0.014036,0.05753,0.18005,0.17392,0.17685,0.17609,0.17799,0.17248,0.17048,0.17047,0.17047,0.17047,0.17047,0.17047,0.00049926,0.0010469,0.00019256,7.7854e-05,6.3632e-05,5.3005e-05,0.00019698,3.2604e-05,2.694e-05,1.5456e-06,8.5706e-08,1.0012e-05,4.2304e-06,4.9175e-06,4.8614e-06,4.1676e-07,5.6107e-05,4.5218e-05,5.8493e-07,2.0101e-06,0.00053716,0.00073809
"XP_001921423",0.93237,0.5601,0.65881,0.33091,0.35077,0.3677,0.00093739,0.00012441,2.8295e-06,1.4519e-12,0,NA,0,0.0034952,0.0082737,0.033179,0.14883,0.091801,0.094557,0.01008,0.0031215,0.16195,0.18292,0.031464,0.094187,0.069901,0.057673,0.54311,0.49499,0.321,0.32226,0.42283,0.38027,0.35726,0.968,0.85919,0.90248,0.6668,0.79313,0.70314,0.48206,0.38848,0.2945,0.24308,0.21385,0.1119,0.10536,0.18296,0.17755,0.17398,0.17632,0.15354,0.15163,0.17287,0.17459,0.17685,0.1765,0.1826,0.17054,0.17047,0.17047,0.17047,0.17047,0.17047,0.17047,0.17047,0.17047,0.17048,0.17049,0.17129,0.17217,0.19636,0.18505,0.18834,0.19111,0.034242,0.028134,0.0049132,0.0034796,0.0097848,0.013606,0.00029361,0.0001307,0.0001942,9.974e-07,3.8809e-06,2.4008e-07,4.2703e-07,1.1473e-06,1.0633e-05,5.0692e-06,5.9537e-06,3.7348e-05,2.7543e-05,0.027236,0.012702,0.014036,0.057528,0.18005,0.17392,0.17685,0.17609,0.17799,0.17248,0.17048,0.17047,0.17047,0.17047,0.17047,0.17047,0.00049917,0.0010467,0.00019251,7.7827e-05,6.3609e-05,5.2984e-05,0.00019693,3.2589e-05,2.6927e-05,1.5439e-06,8.5487e-08,1.0006e-05,4.227e-06,4.9137e-06,4.8575e-06,4.1608e-07,5.6085e-05,4.52e-05,5.8407e-07,2.008e-06,0.00053706,0.00073797
"XP_012688340",0.93237,0.56009,0.65881,0.33113,0.35078,0.3677,0.00094653,0.00012358,2.8435e-06,1.4602e-12,0,0,NA,0.0034951,0.0082735,0.033179,0.14883,0.091801,0.094635,0.01008,0.0031204,0.16199,0.18299,0.031464,0.094232,0.069901,0.057673,0.54312,0.49498,0.321,0.32233,0.42283,0.38027,0.35725,0.968,0.85919,0.9025,0.6668,0.79313,0.7032,0.48206,0.38848,0.2945,0.24308,0.21385,0.1119,0.10536,0.18296,0.17755,0.17398,0.17632,0.15354,0.15164,0.17287,0.17459,0.17685,0.1765,0.1826,0.17054,0.17047,0.17047,0.17047,0.17047,0.17047,0.17047,0.17047,0.17047,0.17048,0.17049,0.17129,0.17217,0.19636,0.18505,0.18834,0.19111,0.034242,0.028134,0.0049132,0.0034796,0.0097848,0.013606,0.00029362,0.0001307,0.0001942,9.9745e-07,3.881e-06,2.401e-07,4.2705e-07,1.1474e-06,1.0633e-05,5.0694e-06,5.9539e-06,3.7348e-05,2.7543e-05,0.027236,0.012702,0.014036,0.057528,0.18005,0.17392,0.17685,0.17609,0.17799,0.17248,0.17048,0.17047,0.17047,0.17047,0.17047,0.17047,0.00049917,0.0010467,0.00019252,7.7828e-05,6.361e-05,5.2985e-05,0.00019693,3.259e-05,2.6928e-05,1.544e-06,8.5496e-08,1.0006e-05,4.2271e-06,4.9139e-06,4.8577e-06,4.1611e-07,5.6086e-05,4.5201e-05,5.8411e-07,2.0081e-06,0.00053707,0.00073797
"XP_002666141",0.17655,0.035347,0.052622,0.014419,0.011273,0.012658,0.015929,0.0088429,0.0049609,0.0035113,0.0034962,0.0034952,0.0034951,NA,5.8766e-09,1.1274e-05,0.0017479,0.00032604,0.00086564,0.3348,0.20711,0.99428,0.99987,0.53405,0.82156,0.74023,0.68458,0.42048,0.46503,0.67052,0.67289,0.54039,0.59095,0.62053,0.16158,0.21042,0.19005,0.3236,0.245,0.062985,0.024521,0.014482,0.0073134,0.0045166,0.0032583,0.00057483,0.00048536,0.0031811,0.0025573,0.0021512,0.0023977,0.0013687,0.0013326,0.002005,0.0021655,0.0023892,0.0023641,0.0021653,0.0018166,0.0018072,0.0018071,0.001807,0.001807,0.001807,0.001807,0.001807,0.001807,0.0018085,0.0018105,0.0018881,0.0019813,0.0051907,0.0033486,0.0037662,0.004158,1.2747e-05,5.9508e-06,6.6962e-12,1.5543e-15,2.1496e-08,2.0821e-07,1.2046e-06,5.6292e-06,2.8287e-06,0.00031813,0.00062018,0.00053458,0.00044106,0.0008269,0.00093262,0.00013934,0.00012616,2.8378e-05,3.8656e-05,0.50048,0.36829,0.37905,0.68275,0.94756,0.94691,0.94722,0.94714,0.94734,0.94676,0.94654,0.94654,0.94654,0.94654,0.94654,0.94654,0.10583,0.13819,0.076901,0.05759,0.054141,0.0512,0.050559,0.044431,0.041907,0.0017581,0.0041989,0.0040324,0.025969,0.026928,0.026811,0.015839,0.021969,0.0092853,0.0087102,0.0085503,0.032281,0.028144
"KTG37669",0.1165,0.018724,0.029513,0.0072197,0.0050252,0.005746,0.026293,0.016607,0.01071,0.008299,0.0082756,0.0082737,0.0082735,5.8766e-09,NA,6.9794e-07,0.0006118,6.9579e-05,0.00029569,0.44845,0.29375,0.85094,0.85193,0.67489,0.97813,0.8958,0.8373,0.31132,0.34916,0.53017,0.53308,0.41426,0.45877,0.48515,0.10539,0.1421,0.12664,0.23132,0.16881,0.036362,0.012328,0.0067187,0.0030376,0.0017218,0.0011691,0.0001419,0.0001153,0.0012676,0.00092594,0.00073644,0.00085741,0.00041239,0.00040024,0.0006833,0.00076709,0.00088618,0.00086694,0.0007185,0.0005799,0.00057712,0.0005771,0.0005771,0.0005771,0.0005771,0.0005771,0.0005771,0.0005771,0.00057748,0.00057796,0.00061209,0.00065139,0.0024325,0.0014183,0.0016786,0.0019191,8.377e-07,2.6926e-07,2.5985e-10,6.5649e-09,2.5877e-12,8.8614e-10,1.6594e-05,4.912e-05,3.0051e-05,0.00111,0.0018772,0.0017035,0.0014528,0.0023817,0.002467,0.00057016,0.00052598,0.00016386,0.00020753,0.63704,0.48748,0.49907,0.83502,0.79789,0.79224,0.7942,0.78755,0.78772,0.78891,0.7893,0.78916,0.78917,0.78917,0.78917,0.78917,0.16215,0.205,0.1224,0.094835,0.089806,0.085509,0.084494,0.075455,0.071583,0.0042609,0.0096002,0.0090335,0.047081,0.048599,0.04843,0.030551,0.040428,0.018085,0.017625,0.016943,0.050624,0.043906
"KTF74249",0.04245,0.0038598,0.0070781,0.0015646,0.00062355,0.00075486,0.065345,0.049301,0.038137,0.033255,0.033181,0.033179,0.033179,1.1274e-05,6.9794e-07,NA,5.2218e-05,4.7636e-07,4.6715e-05,0.72529,0.52372,0.56177,0.57362,0.98652,0.71055,0.78644,0.84425,0.15002,0.17377,0.29786,0.30098,0.21655,0.24705,0.26551,0.037302,0.054819,0.04734,0.10245,0.0684,0.0094277,0.0021808,0.0009403,0.00030124,0.00012959,7.1585e-05,1.9653e-06,1.3123e-06,0.00014498,7.4319e-05,4.3495e-05,6.2405e-05,1.3231e-05,1.2681e-05,3.6108e-05,4.8018e-05,6.7305e-05,6.4011e-05,3.305e-05,2.3484e-05,2.3177e-05,2.3176e-05,2.3176e-05,2.3176e-05,2.3176e-05,2.3176e-05,2.3176e-05,2.3176e-05,2.3217e-05,2.327e-05,2.7156e-05,3.1959e-05,0.00048797,0.00018135,0.00025054,0.00032081,1.9984e-15,2.8715e-12,4.4482e-06,1.1425e-05,3.1428e-07,5.8237e-08,0.00046802,0.00091287,0.00067104,0.0075476,0.010387,0.010269,0.0091542,0.012708,0.012302,0.0047006,0.0044461,0.0020007,0.0023441,0.9443,0.77283,0.78549,0.84686,0.50953,0.50414,0.50672,0.50606,0.50772,0.50286,0.50108,0.50107,0.50107,0.50107,0.50107,0.50107,0.33077,0.39693,0.26561,0.21767,0.20863,0.20078,0.19036,0.18214,0.17491,0.019505,0.036135,0.03221,0.12614,0.1293,0.12888,0.090196,0.10348,0.054045,0.058459,0.05639,0.12325,0.10722
"XP_009297479",0.007739,0.00028217,0.00072046,0.00050897,3.4727e-05,4.1882e-05,0.20239,0.23003,0.19056,0.14515,0.14927,0.14883,0.14883,0.0017479,0.0006118,5.2218e-05,NA,4.5724e-06,9.1215e-05,0.82895,0.94928,0.28808,0.28195,0.58566,0.37939,0.40523,0.44886,0.041165,0.052246,0.10557,0.11041,0.068617,0.081403,0.091246,0.0065118,0.010891,0.0083155,0.0253,0.014641,0.0016488,0.00015546,5.604e-05,1.685e-05,7.744e-06,4.9447e-06,3.288e-06,3.6956e-06,5.4171e-05,2.1144e-05,9.3449e-06,1.6315e-05,2.9271e-06,5.4527e-06,6.9197e-06,1.0921e-05,1.8266e-05,1.6949e-05,3.9225e-06,3.3119e-06,3.2348e-06,3.2345e-06,3.2343e-06,3.2343e-06,3.2343e-06,3.2343e-06,3.2343e-06,3.2343e-06,3.2448e-06,3.2582e-06,4.2791e-06,5.6504e-06,0.00025807,7.314e-05,0.00011162,0.00015305,4.6149e-05,7.6135e-05,0.0012332,0.0018055,0.00051627,0.00030694,0.010811,0.015708,0.013181,0.056544,0.07074,0.068961,0.064019,0.077455,0.067986,0.042013,0.040545,0.024907,0.027395,0.62279,0.78129,0.77054,0.45057,0.23938,0.22993,0.23708,0.21426,0.21519,0.20871,0.21549,0.21496,0.21503,0.21503,0.21503,0.21503,0.70074,0.79087,0.60585,0.52982,0.51492,0.50166,0.48218,0.46973,0.4541,0.099676,0.15073,0.14861,0.36621,0.37236,0.3718,0.29174,0.32142,0.18967,0.20197,0.20221,0.31687,0.2917
"KTG03373",0.012317,0.00048906,0.0011391,0.00030225,3.2295e-05,4.3612e-05,0.13811,0.11607,0.099547,0.091924,0.091802,0.091801,0.091801,0.00032604,6.9579e-05,4.7636e-07,4.5724e-06,NA,2.2782e-05,0.97553,0.79965,0.33793,0.35527,0.71486,0.45103,0.51183,0.56156,0.061973,0.074668,0.14775,0.15034,0.098663,0.11658,0.12772,0.010415,0.017138,0.014203,0.038162,0.022776,0.0017304,0.0002152,6.1233e-05,9.8803e-06,2.2499e-06,7.2915e-07,1.456e-11,1.4311e-12,1.6381e-05,3.8549e-06,8.7493e-07,2.4791e-06,1.5888e-08,1.6241e-08,4.6507e-07,1.1885e-06,3.0133e-06,2.6491e-06,1.46e-07,6.9486e-08,6.4591e-08,6.4571e-08,6.4563e-08,6.4563e-08,6.4563e-08,6.4563e-08,6.4563e-08,6.4563e-08,6.5215e-08,6.6056e-08,1.4497e-07,2.9239e-07,0.00013002,2.5021e-05,4.4392e-05,6.7118e-05,3.9747e-07,1.239e-06,0.00018945,0.00032852,4.7098e-05,2.0786e-05,0.0037471,0.0060412,0.0048418,0.029136,0.036303,0.036899,0.033779,0.042771,0.040619,0.020324,0.019487,0.010725,0.01206,0.75564,0.9257,0.91381,0.5641,0.29636,0.28992,0.293,0.2922,0.2942,0.2884,0.28627,0.28626,0.28626,0.28626,0.28626,0.28626,0.56078,0.64614,0.47253,0.40419,0.39091,0.37929,0.35649,0.35129,0.34021,0.059127,0.097139,0.085934,0.26292,0.2681,0.2674,0.20174,0.2177,0.1277,0.14165,0.13666,0.24142,0.21244
"XP_013122300",0.02116,0.0018759,0.0033017,3.149e-05,0.00035191,0.00039802,0.08433,0.13204,0.091806,0.095366,0.094288,0.094557,0.094635,0.00086564,0.00029569,4.6715e-05,9.1215e-05,2.2782e-05,NA,0.98276,0.77435,0.3911,0.42547,0.76252,0.52041,0.56067,0.61119,0.084962,0.097534,0.1816,0.19754,0.12611,0.14758,0.1584,0.018426,0.027867,0.024877,0.054878,0.035426,0.00354,0.0010676,0.0005087,0.00021381,0.00011748,8.4555e-05,2.584e-05,2.3988e-05,0.00022606,0.00012742,8.1434e-05,0.00010998,4.0016e-05,3.0863e-05,6.9893e-05,8.8377e-05,0.00011719,0.00011235,5.881e-05,4.9375e-05,4.886e-05,4.8858e-05,4.8857e-05,4.8857e-05,4.8857e-05,4.8857e-05,4.8857e-05,4.8857e-05,4.8927e-05,4.9017e-05,5.5473e-05,6.3277e-05,0.00066369,0.00027484,0.00036541,0.0004553,4.1372e-05,5.9294e-05,0.00059994,0.00089533,0.00028043,0.00017081,0.0054833,0.0081871,0.0067909,0.032482,0.044597,0.040576,0.037331,0.046067,0.040193,0.023638,0.022665,0.013425,0.014877,0.80307,0.96902,0.95733,0.61346,0.39378,0.36182,0.37638,0.3018,0.29858,0.31217,0.33145,0.32978,0.32996,0.32996,0.32996,0.32996,0.53647,0.61656,0.45603,0.39141,0.37886,0.36788,0.38551,0.34132,0.32627,0.056911,0.099312,0.10869,0.25798,0.26273,0.26307,0.19996,0.26638,0.13857,0.12321,0.12097,0.18989,0.17801
"KTG09598",0.0693,0.2755,0.21551,0.53436,0.46126,0.44208,0.029502,0.019162,0.012702,0.010119,0.010081,0.01008,0.01008,0.3348,0.44845,0.72529,0.82895,0.97553,0.98276,NA,1.1618e-07,0.00076449,0.0023548,2.052e-07,8.6369e-05,1.451e-05,6.1393e-06,0.014439,0.011081,0.0030953,0.0033675,0.0069997,0.0051184,0.0042625,0.077496,0.054483,0.063033,0.026093,0.043153,0.19494,0.33336,0.41973,0.53267,0.61054,0.66191,0.90695,0.92817,0.7519,0.7468,0.75004,0.75028,0.79082,0.79592,0.75639,0.75857,0.76102,0.7589,0.72421,0.75016,0.75082,0.75083,0.75084,0.75084,0.75084,0.75084,0.75084,0.75084,0.75071,0.75052,0.74989,0.74828,0.75531,0.76615,0.77111,0.77323,0.73316,0.6845,0.37559,0.33443,0.47516,0.53161,0.15388,0.12241,0.13669,0.041146,0.037443,0.032677,0.035717,0.030642,0.039565,0.056085,0.05799,0.088254,0.081926,2.7074e-07,1.365e-11,4.1662e-08,7.2767e-06,0.00083343,0.00054871,0.00067501,0.00064059,0.00072902,0.00049265,0.00042111,0.00042086,0.00042085,0.00042085,0.00042085,0.00042085,1.3083e-05,3.5611e-06,4.9533e-05,0.00013009,0.00015585,0.00018173,0.00076853,0.00026499,0.0003101,0.024367,0.01068,0.017618,0.00084729,0.00079062,0.00080317,0.0019183,0.0040078,0.013459,0.0056428,0.0070334,0.0084769,0.013521
"KTF82271",0.13529,0.42787,0.34763,0.71904,0.65485,0.63232,0.016968,0.0076215,0.0045346,0.0031408,0.0031244,0.0031215,0.0031204,0.20711,0.29375,0.52372,0.94928,0.79965,0.77435,1.1618e-07,NA,0.0027816,0.0065418,1.7702e-05,0.00067274,0.00021288,0.0001237,0.036983,0.029782,0.010686,0.011704,0.020536,0.015955,0.01377,0.14849,0.11083,0.12511,0.06016,0.091374,0.31698,0.50086,0.60603,0.73705,0.82404,0.87999,0.86685,0.84617,0.95985,0.95178,0.96682,0.96419,0.9842,0.97953,0.98785,0.99206,0.99633,0.99034,0.94623,0.97212,0.97423,0.97427,0.97432,0.97432,0.97432,0.97432,0.97432,0.97432,0.97391,0.97331,0.9702,0.96401,0.95203,0.9995,0.9889,0.9862,0.53061,0.48766,0.23775,0.20712,0.31482,0.35991,0.082438,0.062855,0.071653,0.017148,0.014623,0.013005,0.014471,0.011711,0.018322,0.024835,0.025845,0.042624,0.039079,1.7849e-05,5.6969e-07,3.2197e-06,0.00013855,0.0034189,0.0026628,0.0030094,0.002917,0.0031518,0.0025015,0.0022873,0.0022865,0.0022865,0.0022865,0.0022865,0.0022865,3.3515e-07,1.4379e-07,2.7835e-06,1.1e-05,1.412e-05,1.7043e-05,0.00011302,2.9157e-05,3.6254e-05,0.01054,0.003592,0.0062297,0.00013724,0.00012493,0.00012963,0.00039429,0.0012439,0.0058088,0.0016198,0.002329,0.0042047,0.0071949
"ADG85670",0.0043881,0.040303,0.027647,0.13312,0.092773,0.086482,0.18496,0.2426,0.1928,0.15915,0.16219,0.16195,0.16199,0.99428,0.85094,0.56177,0.28808,0.33793,0.3911,0.00076449,0.0027816,NA,9.0865e-06,0.00014764,7.5452e-06,3.3457e-05,4.4409e-05,0.00041137,0.00026251,5.6097e-05,2.594e-05,0.00015089,0.00010042,7.6029e-05,0.0052327,0.0029665,0.0040603,0.0009552,0.002194,0.020774,0.054257,0.079137,0.1181,0.14842,0.17056,0.2961,0.30918,0.25112,0.20074,0.22983,0.23566,0.23209,0.23277,0.22623,0.23216,0.23975,0.25294,0.19927,0.21082,0.21167,0.21202,0.21194,0.21194,0.21194,0.21194,0.21194,0.21194,0.21263,0.21218,0.21888,0.21154,0.17075,0.21891,0.26406,0.26758,0.55525,0.59522,0.9454,0.9946,0.81788,0.7639,0.66798,0.59245,0.62764,0.33391,0.31721,0.29602,0.31009,0.29885,0.3326,0.39288,0.39984,0.49867,0.47822,0.00014866,0.00060331,0.00045105,3.5997e-05,8.1354e-05,3.159e-05,5.1393e-05,4.5611e-05,6.1009e-05,2.4119e-05,1.5894e-05,1.5867e-05,1.5867e-05,1.5867e-05,1.5867e-05,1.5867e-05,0.011061,0.0063381,0.016429,0.023286,0.024962,0.026025,0.033387,0.030796,0.032758,0.2574,0.16479,0.16583,0.050141,0.048768,0.048537,0.072374,0.083908,0.2064,0.11599,0.11545,0.085503,0.19057
"KTG44146",0.0079615,0.050356,0.038968,0.16962,0.10805,0.10143,0.18752,0.23682,0.19144,0.18261,0.1828,0.18292,0.18299,0.99987,0.85193,0.57362,0.28195,0.35527,0.42547,0.0023548,0.0065418,9.0865e-06,NA,0.00080353,0.00027574,0.00035061,0.00038489,0.0013803,0.0011198,0.00044221,0.00018538,0.00075992,0.00059154,0.00053585,0.0091607,0.0057326,0.0072479,0.002543,0.0047522,0.032857,0.066785,0.093563,0.13439,0.16564,0.18798,0.31392,0.32721,0.32777,0.23514,0.2774,0.29241,0.25021,0.25401,0.2352,0.2386,0.24458,0.28264,0.21746,0.23114,0.22958,0.23026,0.23003,0.23003,0.23003,0.23003,0.23003,0.23003,0.23211,0.23212,0.25064,0.2442,0.15639,0.18972,0.25617,0.2556,0.5676,0.60011,0.94379,0.99864,0.82077,0.77865,0.68405,0.61044,0.64448,0.35665,0.36983,0.31887,0.33292,0.35476,0.3468,0.41506,0.42193,0.51878,0.4965,0.00045815,0.0019029,0.00090858,0.00023518,0.00054206,0.00033324,0.00042462,0.00039949,0.00046434,0.00029348,0.00024361,0.00024343,0.00024343,0.00024343,0.00024343,0.00024343,0.018985,0.0097431,0.024473,0.032684,0.034696,0.035604,0.051459,0.0416,0.043892,0.26381,0.18192,0.16635,0.063494,0.062195,0.060887,0.087791,0.098997,0.25789,0.13374,0.1147,0.067968,0.25303
"AGH09216",0.02692,0.14782,0.10941,0.3428,0.27906,0.26477,0.063248,0.047286,0.036411,0.031526,0.031467,0.031464,0.031464,0.53405,0.67489,0.98652,0.58566,0.71486,0.76252,2.052e-07,1.7702e-05,0.00014764,0.00080353,NA,4.7609e-06,6.6552e-08,8.6237e-09,0.0037252,0.0026364,0.00048537,0.0005664,0.0014462,0.00095764,0.0007479,0.030926,0.019946,0.023978,0.0079096,0.014888,0.097208,0.18687,0.24832,0.33362,0.39543,0.43747,0.65117,0.67069,0.52175,0.51799,0.51475,0.51654,0.54719,0.55165,0.51501,0.51662,0.51866,0.51766,0.48975,0.5125,0.51253,0.51252,0.51252,0.51252,0.51252,0.51252,0.51252,0.51252,0.51249,0.51248,0.51283,0.51351,0.53534,0.52674,0.52893,0.53138,0.99485,0.94319,0.5856,0.53341,0.70678,0.773,0.28442,0.23611,0.25829,0.097349,0.090431,0.080791,0.086815,0.076574,0.09015,0.12515,0.12859,0.18091,0.17023,4.3794e-09,4.458e-08,2.4392e-07,2.1467e-08,0.0001155,5.0068e-05,7.6719e-05,6.9049e-05,8.9321e-05,3.9649e-05,2.7781e-05,2.7742e-05,2.7741e-05,2.7741e-05,2.7741e-05,2.7741e-05,0.00025271,0.00010372,0.00060647,0.0011821,0.0013435,0.0015046,0.0038977,0.0019655,0.0021987,0.060676,0.032102,0.047831,0.0046272,0.0043955,0.0044362,0.0085993,0.013485,0.03482,0.019311,0.022382,0.021329,0.030573
"CI01000065_0369242",0.007599,0.063137,0.043236,0.19917,0.13834,0.12964,0.10598,0.15804,0.11348,0.092569,0.094275,0.094187,0.094232,0.82156,0.97813,0.71055,0.37939,0.45103,0.52041,8.6369e-05,0.00067274,7.5452e-06,0.00027574,4.7609e-06,NA,4.2274e-07,6.3807e-07,0.00064434,0.00039889,4.8439e-05,2.9342e-05,0.00019545,0.00011514,8.1392e-05,0.009032,0.0052303,0.0067245,0.0016326,0.0036277,0.036362,0.083905,0.1193,0.1728,0.21321,0.24209,0.40027,0.41653,0.30643,0.30148,0.29801,0.30015,0.32087,0.32304,0.29872,0.30077,0.30335,0.30208,0.27928,0.29531,0.29539,0.29538,0.29539,0.29539,0.29539,0.29539,0.29539,0.29539,0.29534,0.29532,0.29572,0.29638,0.3225,0.31316,0.31627,0.31935,0.70284,0.75134,0.88105,0.82092,0.98767,0.91889,0.50913,0.44141,0.4729,0.22326,0.20848,0.19346,0.20445,0.18397,0.20719,0.27086,0.27657,0.3597,0.34325,1.1473e-05,5.2772e-05,6.5374e-05,1.0093e-06,2.6259e-05,6.3154e-06,1.3468e-05,1.1245e-05,1.7363e-05,4.0349e-06,1.918e-06,1.912e-06,1.9119e-06,1.9119e-06,1.9119e-06,1.9119e-06,0.0031287,0.0017942,0.005564,0.0087272,0.0095276,0.010298,0.017875,0.012403,0.013403,0.15347,0.094692,0.12484,0.022775,0.021947,0.022094,0.035752,0.046012,0.095549,0.064,0.070958,0.060578,0.079218
"NP_001239578",0.0098955,0.077237,0.053942,0.21709,0.16501,0.15496,0.11269,0.092135,0.077084,0.069987,0.069906,0.069901,0.069901,0.74023,0.8958,0.78644,0.40523,0.51183,0.56067,1.451e-05,0.00021288,3.3457e-05,0.00035061,6.6552e-08,4.2274e-07,NA,5.945e-12,0.0008326,0.00053184,5.399e-05,7.234e-05,0.00024061,0.00013819,9.8519e-05,0.011722,0.0068494,0.0086049,0.002169,0.0047783,0.047038,0.10219,0.14352,0.20431,0.25045,0.28273,0.45692,0.47362,0.35496,0.34942,0.34572,0.34814,0.37017,0.37385,0.34456,0.34635,0.34869,0.34832,0.32385,0.34214,0.34207,0.34207,0.34207,0.34207,0.34207,0.34207,0.34207,0.34207,0.34208,0.34209,0.34292,0.34384,0.3685,0.35709,0.36043,0.36323,0.77842,0.82855,0.79816,0.73947,0.92992,0.99926,0.43963,0.37645,0.40572,0.17942,0.16785,0.1535,0.16302,0.14634,0.16559,0.22141,0.22649,0.30137,0.28637,4.9544e-07,6.764e-06,9.4997e-06,4.0574e-10,1.6569e-05,3.0364e-06,7.6042e-06,6.1331e-06,1.0257e-05,1.7252e-06,6.4291e-07,6.4014e-07,6.4009e-07,6.4009e-07,6.4009e-07,6.4009e-07,0.001499,0.0007615,0.002918,0.0048982,0.0054152,0.005917,0.011563,0.0073122,0.0079864,0.11902,0.070373,0.09596,0.014506,0.01392,0.014011,0.023992,0.032416,0.072313,0.045911,0.051209,0.044029,0.060373
"XP_009289507",0.013073,0.092378,0.065669,0.24665,0.19075,0.17964,0.096999,0.078651,0.064311,0.057742,0.057676,0.057673,0.057673,0.68458,0.8373,0.84425,0.44886,0.56156,0.61119,6.1393e-06,0.0001237,4.4409e-05,0.00038489,8.6237e-09,6.3807e-07,5.945e-12,NA,0.0012741,0.00083931,0.0001028,0.00012736,0.00040307,0.00024209,0.00017764,0.01535,0.0092226,0.011452,0.0031211,0.006569,0.057534,0.12071,0.16695,0.23392,0.28411,0.31896,0.50407,0.52161,0.39696,0.3904,0.38708,0.38974,0.41244,0.41636,0.38458,0.38622,0.38841,0.3889,0.36309,0.38269,0.38253,0.38254,0.38253,0.38253,0.38253,0.38253,0.38253,0.38253,0.38259,0.38262,0.38385,0.38482,0.40702,0.39527,0.39935,0.40191,0.8361,0.88677,0.74119,0.68381,0.87107,0.93978,0.39583,0.33638,0.36385,0.15478,0.14518,0.13146,0.14001,0.12578,0.14266,0.19291,0.19754,0.26643,0.2525,1.1752e-07,2.5238e-06,3.7481e-06,4.479e-11,2.7494e-05,6.7742e-06,1.4245e-05,1.193e-05,1.829e-05,4.3707e-06,2.1181e-06,2.1117e-06,2.1116e-06,2.1116e-06,2.1116e-06,2.1116e-06,0.00099925,0.00047621,0.0020215,0.0035042,0.0038978,0.0042797,0.0089783,0.005358,0.0058832,0.10074,0.05815,0.080667,0.011046,0.010577,0.010642,0.018762,0.02617,0.060889,0.03724,0.041585,0.036125,0.0515
